mcns,manc,type
810957,12781,SApp01
815827,23726,"SApp02,SApp03"
816971,167479,SApp
819101,31009,SApp08
904892,17784,SApp07
36718,20862,"SApp09,SApp22"
41670,24820,"SApp09,SApp22"
48437,32250,"SApp09,SApp22"
50292,32484,"SApp09,SApp22"
52279,25666,SApp08
57589,16377,SApp
57655,27763,"SApp09,SApp22"
57720,12982,SApp08
58424,26935,"SApp09,SApp22"
59144,12923,"SApp09,SApp22"
61672,27840,"SApp09,SApp22"
70598,11860,SApp08
75573,30797,SApp
78445,18185,SApp08
79510,16766,"SApp06,SApp15"
81283,28621,"SApp09,SApp22"
86945,28934,"SApp09,SApp22"
109763,15224,"SApp09,SApp22"
120242,31563,"SApp09,SApp22"
150303,30293,SApp
158563,34017,SApp
173256,17879,SApp
249650,27312,SApp
253152,49001,"SApp09,SApp22"
282750,21758,SApp
542621,37815,SApp08
814684,15876,"SApp09,SApp22"
89347,17870,"SApp09,SApp22"
119214,13391,"SApp09,SApp22"
119877,13275,"SApp09,SApp22"
128531,14921,"SApp09,SApp22"
133408,30598,SApp08
146224,14978,SApp
147170,20427,SApp
148634,13961,SApp
151156,28808,SApp
153644,32029,"SApp09,SApp22"
168613,17012,SApp
172868,14817,"SApp09,SApp22"
179610,17402,SApp
199918,18956,"SApp09,SApp22"
215306,17828,SApp
254178,13890,SApp
258572,18609,SApp
258686,18166,SApp
812596,21292,SApp
815986,27667,SApp
817462,53588193280,SApp
175249442,64875,SApp
82770,21556,"SApp09,SApp22"
89046,19545,"SApp09,SApp22"
93068,15599,SApp
101558,21968,"SApp09,SApp22"
117027,14968,SApp
122489,13677,"SApp09,SApp22"
122753,16443,"SApp09,SApp22"
122992,100774,"SApp09,SApp22"
137825,16645,"SApp09,SApp22"
159329,15646,"SApp06,SApp15"
165331,16673,"SApp09,SApp22"
170770,16799,SApp
184894,21953,SApp
218325,16927,"SApp09,SApp22"
255915,50540,SApp
261128,16061,SApp
816429,21924,SApp08
817091,15886,SApp
819678,20043,SApp
90679,18930,"SApp06,SApp15"
93838,15146,SApp
99350,39466,SApp
120857,32739,"SApp09,SApp22"
122413,31353,SApp
