s,i,w
817071,909716,4
817071,817898,3
817071,813841,4
817071,812482,3
817071,811549,3
817071,809174,6
817071,808434,18
817071,808237,3
817071,807978,4
817071,807851,5
817071,803860,26
817071,802154,3
817071,78326,7
817376,909716,7
817376,811549,3
817376,808434,11
817376,807202,3
817376,803860,15
810957,804996,3
810957,803261,7
810957,801266,4
810957,21182,3
815827,908251,8
815827,817794,3
815827,816120,3
815827,816014,6
815827,812476,7
815827,812182,4
815827,811961,4
815827,811715,4
815827,808935,6
815827,808180,6
815827,807330,4
815827,805728,7
815827,805545,3
815827,803007,14
816971,919485,3
816971,908251,6
816971,812182,4
816971,811715,4
816971,810359,3
816971,809603,3
816971,808180,9
816971,807330,7
816971,803007,6
816971,802192,3
817472,812451,6
817472,810530,3
817472,803261,39
817472,801870,4
817901,924883,3
817901,902790,4
817901,813153,6
817901,809813,3
817901,809369,4
817901,809118,3
817901,808366,3
817901,807228,4
817901,806116,4
817901,804999,7
817901,803575,8
817901,802766,12
817901,801266,25
817901,800518,4
817901,342502,3
819101,924883,5
819101,813153,8
819101,810944,4
819101,810359,4
819101,809199,3
819101,809059,4
819101,808366,3
819101,808044,3
819101,807423,4
819101,807228,6
819101,806116,3
819101,803609,9
819101,802766,8
819101,801266,16
819101,800518,12
819101,342502,3
819101,21182,3
904892,910718,3
904892,908089,3
904892,816612,3
904892,809496,4
904892,806838,5
904892,803609,4
904892,801571,3
904892,801266,10
904892,801189,4
904892,800518,8
904892,21182,27
36718,912300,3
36718,911200,3
36718,812184,3
36718,811482,3
36718,810743,3
36718,807660,4
36718,804688,3
41670,912300,3
41670,814711,3
41670,812184,3
41670,811482,4
41670,811211,3
41670,811073,5
48437,933397,3
48437,820900,6
48437,813561,6
48437,802566,5
50292,820900,3
50292,814690,3
50292,812173,7
50292,811482,3
50292,811073,3
52279,909171,3
52279,904933,6
52279,904639,5
52279,817559,3
52279,813671,3
52279,811818,5
52279,809381,5
52279,803469,4
52279,802016,4
52279,801107,7
52279,800943,3
57589,815436,4
57655,811775,4
57655,811160,3
57655,810992,3
57655,810855,3
57655,810140,3
57720,909171,4
57720,817559,3
57720,817355,4
57720,817053,3
57720,816087,7
57720,813422,3
57720,808396,3
57720,806463,3
57720,806088,3
57720,806051,4
57720,803950,13
57720,803469,11
57720,801618,7
57720,801141,12
57720,801107,13
57720,63109,3
57720,27135,18
58424,933397,4
58424,909716,3
58424,820900,11
58424,812407,4
58424,802566,4
58424,802092,3
59144,911200,3
59144,817005,3
59144,807202,7
59144,802092,6
59144,45062,3
61672,907967,4
61672,905303,3
61672,820900,8
61672,813561,3
61672,811549,3
61672,810140,4
61672,809417,3
61672,807202,4
61672,802092,3
61672,45062,3
70454,904639,24
70454,817559,5
70454,817053,3
70454,809381,5
70454,806051,5
70454,803469,8
70454,801141,7
70454,801107,4
70454,800943,3
70598,904042,11
70598,809272,4
70598,807262,4
70598,805934,4
70598,803469,14
70598,802016,4
70598,801141,3
70598,801107,4
70598,800967,5
75573,802092,3
78445,909171,10
78445,904933,5
78445,904639,15
78445,820457,3
78445,817559,3
78445,816087,5
78445,811754,3
78445,808396,8
78445,806767,3
78445,806463,3
78445,806088,5
78445,806051,5
78445,805416,4
78445,803950,8
78445,802633,10
78445,801618,9
78445,801141,7
78445,801107,26
79510,904639,7
79510,904042,14
79510,808955,10
79510,808550,3
79510,808530,7
79510,806463,7
79510,803950,4
79510,803469,3
79510,802184,7
79510,801618,3
79510,801141,3
79510,63109,3
79510,23882,3
81283,911200,6
81283,815201,5
81283,814805,3
81283,813991,8
81283,813127,4
81283,812407,11
81283,812184,11
81283,811939,7
81283,811211,3
81283,811210,11
81283,808768,13
81283,805884,6
86945,810855,5
86945,810140,5
86945,803860,4
86945,802092,6
96040,903400,6
96040,811040,5
96040,808550,3
96040,805487,5
96040,801107,18
96040,800967,6
109763,909716,8
109763,820900,9
