bodyId,type,side,post,nt,group
909716,IN06A022,R,587,gaba,807330.0
817898,"IN06A126,IN06A137",R,309,gaba,805545.0
813841,"IN06A126,IN06A137",R,413,gaba,805545.0
812482,IN06A127,R,493,gaba,812288.0
811549,IN06A124,R,576,gaba,811549.0
809174,IN03B069,R,1206,gaba,809174.0
808434,IN06A042,R,769,gaba,808237.0
808237,IN06A042,R,941,gaba,808237.0
807978,IN06A094,R,1014,gaba,805144.0
807851,IN06A042,R,1046,gaba,807851.0
803860,IN06B042,L,2795,gaba,803007.0
802154,IN07B033,R,2256,acetylcholine,802154.0
78326,IN03B058,R,1012,gaba,78326.0
807202,IN02A032,R,770,glutamate,807202.0
804996,IN06B077,R,1856,gaba,804996.0
803261,INXXX142,R,1997,acetylcholine,803261.0
801266,IN06B014,R,3669,gaba,801107.0
21182,AN06B014,R,2548,gaba,12559.0
908251,IN11B018,L,767,gaba,811299.0
817794,"IN06A126,IN06A137",L,369,gaba,805545.0
816120,"IN06A126,IN06A137",L,440,gaba,805545.0
816014,"IN06A126,IN06A137",L,435,gaba,805545.0
812476,IN03B072,L,998,gaba,810676.0
812182,IN06A116,L,424,gaba,804164.0
811961,IN11B019,L,624,gaba,811961.0
811715,IN06A116,L,512,gaba,804164.0
808935,IN06A042,L,974,gaba,808237.0
808180,IN06A042,L,1009,gaba,807851.0
807330,IN06A022,L,731,gaba,807330.0
805728,IN06A022,L,585,gaba,805728.0
805545,"IN06A126,IN06A137",L,376,gaba,805545.0
803007,IN06B042,R,3043,gaba,803007.0
919485,IN06A032,L,927,gaba,809555.0
810359,IN06A086,L,664,gaba,809140.0
809603,IN06A042,L,973,gaba,807851.0
802192,IN07B033,L,2322,acetylcholine,802154.0
812451,IN03B063,L,619,gaba,812451.0
810530,IN03B063,L,591,gaba,809399.0
801870,INXXX076,L,1476,acetylcholine,801618.0
924883,IN11B012,L,3642,gaba,802882.0
902790,w-cHIN,L,4326,acetylcholine,800967.0
813153,IN11A031,L,1078,acetylcholine,813153.0
809813,IN03B069,L,1071,gaba,809174.0
809369,IN07B086,L,498,acetylcholine,808931.0
809118,IN03B069,L,1160,gaba,809118.0
808366,IN07B086,L,645,acetylcholine,806974.0
807228,IN11A037_b,L,1420,acetylcholine,807228.0
806116,IN11A031,L,1608,acetylcholine,806116.0
804999,IN07B086,L,877,acetylcholine,804999.0
803575,w-cHIN,L,3526,acetylcholine,803575.0
802766,IN18B020,L,3210,acetylcholine,802766.0
800518,IN02A026,L,2606,glutamate,800518.0
342502,AN18B004,L,6449,acetylcholine,18714.0
810944,IN06B087,R,914,gaba,807966.0
809199,IN12A050_b,L,1146,acetylcholine,809199.0
809059,IN11A028,L,1230,acetylcholine,809059.0
808044,IN07B086,L,834,acetylcholine,807580.0
807423,IN06B047,R,1315,gaba,805622.0
803609,IN18B039,L,1917,acetylcholine,803609.0
910718,IN08B070_b,L,218,acetylcholine,815945.0
908089,IN16B063,L,847,glutamate,808487.0
816612,IN08B091,L,967,acetylcholine,806909.0
809496,IN11A028,R,1097,acetylcholine,809059.0
806838,IN08B088,L,859,acetylcholine,806838.0
801571,IN01A017,R,4177,acetylcholine,801571.0
801189,IN06B013,R,4246,gaba,801189.0
912300,IN03B061,R,1267,gaba,811238.0
911200,IN03B060,R,1145,gaba,811152.0
812184,IN03B060,R,992,gaba,811152.0
811482,IN03B061,R,1217,gaba,811238.0
810743,IN03B066,R,1391,gaba,810353.0
807660,IN03B061,R,1454,gaba,
804688,IN03B061,R,1208,gaba,804688.0
814711,IN03B061,R,856,gaba,811160.0
811211,IN03B061,R,1326,gaba,811211.0
811073,IN06A022,R,295,gaba,809650.0
933397,IN03B072,R,1006,gaba,812612.0
820900,IN07B098,R,393,acetylcholine,813561.0
813561,IN07B098,R,345,acetylcholine,813561.0
802566,IN27X014,R,3814,gaba,802566.0
814690,IN03B072,R,834,gaba,805701.0
812173,IN06A022,R,383,gaba,809650.0
909171,IN07B083_b,R,354,acetylcholine,809324.0
904933,IN11A028,R,2621,acetylcholine,800520.0
904639,IN06A002,R,7717,gaba,904639.0
817559,IN07B079,R,388,acetylcholine,809381.0
813671,IN03B070,R,765,gaba,804712.0
811818,IN07B079,R,380,acetylcholine,806051.0
809381,IN07B079,R,438,acetylcholine,809381.0
803469,w-cHIN,R,6214,acetylcholine,803469.0
802016,IN19B033,L,4633,acetylcholine,802016.0
801107,IN06B014,L,3093,gaba,801107.0
800943,IN17B004,R,4119,gaba,800943.0
815436,IN03B072,R,571,gaba,805701.0
811775,IN06A124,R,510,gaba,811549.0
811160,IN03B061,R,768,gaba,811160.0
810992,IN03B066,R,1207,gaba,809334.0
810855,IN06A022,R,560,gaba,805728.0
810140,IN06A022,R,487,gaba,805728.0
817355,IN06A075,R,355,gaba,801520.0
817053,IN06A075,R,345,gaba,801520.0
816087,IN06A075,R,355,gaba,801520.0
813422,IN07B083_a,R,419,acetylcholine,813422.0
808396,IN06A040,R,348,gaba,808396.0
806463,IN12A018,R,1319,acetylcholine,805021.0
806088,IN12A043_a,R,1625,acetylcholine,805934.0
