s,d,w
810957,801310,15
817472,802315,3
817472,801310,31
817901,801137,7
819101,801137,9
904892,801137,8
904892,801310,12
36718,801815,3
41670,801815,3
57720,804301,7
59144,800899,4
70598,801350,5
78445,804301,13
78445,802120,3
79510,802028,13
79510,802315,3
79510,801350,9
79510,804301,44
81283,801815,9
120242,801815,9
150303,801350,3
173256,801350,4
173256,804301,6
128531,801292,7
148634,801292,18
153644,801292,20
168613,801292,41
172868,801292,23
199918,801292,6
215306,801292,11
812596,801137,23
812596,801310,14
175249442,801137,3
122489,801292,4
122753,801292,5
122992,801292,11
137825,801292,16
184894,801292,17
218325,801292,7
93838,802120,15
120857,802120,8
122413,802120,37
161542,802120,29
281933,802120,5
296168,802120,20
427343,802120,30
812914,802120,18
96994,801310,12
120169,801137,11
120169,801310,32
143082,802315,6
161422,802315,19
161422,801137,6
161422,801310,29
812667,801310,5
159470,801292,9
287217,801137,4
312400,802315,3
495250,801137,6
817316,801137,11
817316,801310,15
110525,802120,11
123524,802120,3
285848,801350,9
285848,804301,15
469267,801350,3
469267,804301,3
817526,801815,3
817526,802120,3
565883073,801350,7
53799,802120,4
64272,802120,8
71443,802120,4
82990,802120,9
91500,802028,4
179459,801815,3
179459,802120,8
104605,801292,7
128834,801292,11
140432,801292,5
141508,801292,11
143017,801185,11
147908,801185,9
163274,801292,14
293667,801292,10
808502,801292,8
810577,801292,8
819215,801350,5
819215,804301,6
805510,801292,7
83137,801292,6
108941,801185,25
124189,801292,25
147452,801292,6
82781,802120,6
100755,802120,17
140838,801350,15
145804,802028,5
815450,801292,7
54088,801350,5
54088,804301,4
110202,801815,9
144434,804301,3
148769,801815,3
138981,801350,6
813714,802120,18
94603,801350,5
94603,804301,11
168334,802028,21
168334,804301,28
200165,801350,9
200165,804301,23
118074272,801350,3
118074272,804301,8
119228,801137,12
119228,801310,12
153572,801137,10
153572,801310,9
176396,801292,6
122460,802120,5
133389,802120,7
138205,801350,16
907600,802315,16
907600,801137,7
907600,801310,34
819835,801137,6
104610,801185,7
106132,801185,3
115809,802120,13
910090,802120,7
816960,801815,3
817870,801350,3
174277,802315,6
174277,801137,11
174277,801310,10
188043,801137,12
188043,801310,16
206485,801137,8
206485,801310,7
816074,801137,9
816074,801310,7
323454,801292,13
547197,801292,9
105240,801350,9
105240,804301,16
139217,801350,4
139217,804301,7
161704,801350,9
161704,804301,14
111052,802120,16
139218,802120,15
145433,802120,8
813795,802028,7
813795,801350,6
813795,804301,16
343341,801350,4
396040,801350,6
396040,804301,7
197418,801350,9
197418,804301,18
109521,802120,15
123566,802120,7
817907,801292,3
200867,801292,16
813734,801292,26
129575132,801292,23
120318,801185,16
78117,801350,3
78117,804301,3
104481,802028,9
131475,802028,3
131475,801350,16
131475,804301,19
147266,801292,15
121271,801350,14
121271,804301,11
912864,802315,6
912864,801137,5
912864,801310,23
132393,802028,11
102868,801137,5
263403,801137,14
263403,801310,23
188093,802028,11
188093,801350,10
188093,804301,40
188368,802120,15
356694,801137,5
356694,801310,10
319464846,801292,5
145821,801137,4
109547,801815,6
215290,802315,25
215290,801137,3
215290,801310,39
250927,801137,6
811943,801350,13
811943,804301,12
129205,802120,7
240137,802315,18
240137,801137,5
240137,801310,38
101048,801350,4
161212,801292,18
251962,804301,16
581519998,801137,13
581519998,801310,28
814345,802028,14
814345,802315,6
814345,804301,16
817334,801350,3
168542,801350,18
168542,804301,18
721595680,801350,5
721595680,804301,13
242617,802315,3
165036608,802120,3
113655,802120,9
99569,802120,5
142880,801137,11
124567,802028,4
77796,802120,17
807758,801137,4
807758,801310,6
232250,802120,13
146426,802315,4
146426,801137,7
146426,801310,17
149456,801137,28
149456,801310,4
124505,801137,8
124505,801310,18
132009,801137,16
321904,802120,5
344330055,802315,6
344330055,801137,3
344330055,801310,15
