s,i,w
817071,129453660,4
817071,909716,4
817071,909390,5
817071,817898,3
817071,813841,4
817071,812482,3
817071,812060,7
817071,811549,3
817071,810395,6
817071,809174,6
817071,808788,4
817071,808434,18
817071,808237,3
817071,807978,4
817071,807851,5
817071,803860,26
817071,802154,3
817071,250291,4
817071,222611,4
817071,184173,6
817071,78326,7
817376,909716,7
817376,811549,3
817376,808934,3
817376,808434,11
817376,807707,4
817376,807202,3
817376,803860,15
817376,223886,5
817376,205202,4
817376,82880,4
810957,819997,4
810957,817315,6
810957,815063,8
810957,812371,6
810957,806821,3
810957,804996,3
810957,803567,3
810957,803261,7
810957,802898,5
810957,801266,4
810957,801204,4
810957,139941,4
810957,21182,3
810957,14121,6
815827,913418,4
815827,908251,8
815827,817794,3
815827,816120,3
815827,816014,6
815827,812476,7
815827,812182,4
815827,811961,4
815827,811715,4
815827,808935,6
815827,808180,6
815827,807330,4
815827,805728,7
815827,805545,3
815827,803034,3
815827,803007,14
815827,188688,7
815827,77245,3
816971,919485,3
816971,913418,6
816971,908251,6
816971,812182,4
816971,811715,4
816971,810704,5
816971,810359,3
816971,809603,3
816971,808180,9
816971,807330,7
816971,806028,3
816971,803007,6
816971,802192,3
816971,85686,4
816971,77245,5
817472,812648,3
817472,812451,6
817472,810530,3
817472,803261,39
817472,802898,8
817472,801870,4
817901,924883,3
817901,902790,4
817901,813153,6
817901,809813,3
817901,809369,4
817901,809118,3
817901,808366,3
817901,807228,4
817901,806116,4
817901,804999,7
817901,803575,8
817901,802766,12
817901,801266,25
817901,800518,4
817901,342502,3
819101,924883,5
819101,813153,8
819101,810944,4
819101,810359,4
819101,809199,3
819101,809059,4
819101,808366,3
819101,808044,3
819101,807423,4
819101,807228,6
819101,806116,3
819101,803609,9
819101,802766,8
819101,801266,16
819101,800518,12
819101,342502,3
819101,77245,4
819101,21182,3
904892,910718,3
904892,908089,3
904892,819997,7
904892,817315,9
904892,816612,3
904892,815063,9
904892,812371,7
904892,811617,9
904892,809496,4
904892,806838,5
904892,803609,4
904892,801571,3
904892,801266,10
904892,801189,4
904892,801125,5
904892,800518,8
904892,35505,4
904892,21182,27
904892,14121,6
904892,10922,5
36718,912300,3
36718,911200,3
36718,907678,4
36718,812184,3
36718,811482,3
36718,810743,3
36718,807660,4
36718,804688,3
36718,109486,3
41670,912300,3
41670,907678,13
41670,814711,3
41670,812184,3
41670,811482,4
41670,811211,3
41670,811073,5
41670,806861,3
41670,188811,6
41670,109486,8
41670,108171,4
48437,933397,3
48437,820900,6
48437,813561,6
48437,805673,8
48437,802566,5
50292,820900,3
50292,814690,3
50292,812173,7
50292,811482,3
50292,811073,3
50292,805673,5
50292,204366,3
50292,74133,7
52279,909171,3
52279,904933,6
52279,904639,5
52279,817559,3
52279,813671,3
52279,813530,5
52279,811818,5
52279,810088,4
52279,809381,5
52279,808206,3
52279,803469,4
52279,802016,4
52279,801107,7
52279,800943,3
57589,910145,6
57589,907678,14
57589,815436,4
57589,222611,3
57589,188811,7
57589,135600,5
57589,101146,3
57655,910145,3
57655,907678,5
57655,906480,3
57655,811775,4
57655,811160,3
57655,810992,3
57655,810855,3
57655,810140,3
57655,804132,3
57655,188811,8
57655,135600,5
57655,116672,4
57720,909171,4
57720,817559,3
57720,817355,4
57720,817053,3
57720,816087,7
57720,813422,3
57720,808396,3
57720,806463,3
57720,806088,3
57720,806051,4
57720,803950,13
57720,803574,4
57720,803469,11
57720,801618,7
57720,801567,5
57720,801141,12
57720,801107,13
57720,63109,3
57720,27135,18
57720,12559,3
58424,933397,4
58424,909716,3
58424,820900,11
58424,812407,4
58424,808788,5
58424,805673,6
58424,802566,4
58424,802092,3
58424,204366,4
58424,94612,3
59144,911200,3
59144,817005,3
59144,812962,4
59144,807202,7
59144,802092,6
59144,204366,11
59144,188811,4
59144,184173,3
59144,170689,3
59144,166366,3
59144,101146,3
59144,45062,3
59144,14121,3
59144,10922,3
61672,907967,4
61672,905303,3
61672,820900,8
61672,813561,3
61672,811549,3
61672,810140,4
61672,809417,3
61672,807202,4
61672,805673,10
61672,802092,3
61672,204366,4
61672,98013,6
61672,94612,7
61672,74133,3
61672,45062,3
61672,10922,4
70454,904639,24
70454,817733,3
70454,817559,5
70454,817053,3
70454,809381,5
70454,808206,4
70454,806051,5
70454,803469,8
70454,801141,7
70454,801107,4
70454,800943,3
70598,904042,11
70598,809272,4
70598,807262,4
70598,805934,4
70598,803567,6
70598,803469,14
70598,802016,4
70598,801141,3
70598,801107,4
70598,800967,5
70598,12559,5
70598,10922,3
75573,907678,4
75573,812962,3
75573,809676,4
75573,804132,3
75573,802092,3
75573,222611,7
75573,188811,4
75573,166366,4
75573,109486,3
75573,90710,6
75573,14121,3
75573,10922,10
78445,909171,10
78445,907676,6
78445,904933,5
78445,904639,15
78445,820457,3
78445,817559,3
78445,816087,5
78445,811754,3
78445,808396,8
78445,806767,3
78445,806463,3
78445,806088,5
78445,806051,5
78445,805416,4
78445,803950,8
78445,803574,5
78445,802633,10
78445,801618,9
78445,801567,3
78445,801141,7
78445,801107,26
78445,12559,11
79510,910145,11
79510,905602,9
79510,904639,7
79510,904042,14
79510,819196,6
79510,813088,3
79510,810820,6
79510,810094,3
79510,808955,10
79510,808953,7
79510,808550,3
79510,808530,7
79510,807782,8
79510,806463,7
79510,804679,3
79510,803950,4
79510,803574,9
79510,803469,3
79510,802184,7
79510,801618,3
79510,801567,7
79510,801141,3
79510,63109,3
79510,23882,3
79510,12559,4
81283,911200,6
81283,815201,5
81283,814805,3
81283,813991,8
81283,813528,3
81283,813127,4
81283,812910,3
81283,812407,11
81283,812184,11
81283,811939,7
81283,811211,3
81283,811210,11
81283,808768,13
81283,806165,3
81283,805884,6
81283,804165,6
81283,204366,6
81283,188811,4
86945,907678,3
86945,810855,5
86945,810140,5
86945,803860,4
86945,802092,6
86945,204366,3
86945,184173,5
86945,90710,5
96040,903400,6
96040,811040,5
96040,808550,3
96040,805487,5
96040,801107,18
96040,800967,6
109763,94612,6
109763,10922,6
109763,909716,8
109763,820900,9
109763,817005,3
109763,814690,6
109763,813561,5
109763,812173,3
109763,812170,4
109763,810855,4
109763,810140,3
109763,808434,4
109763,807202,3
109763,804132,3
109763,802092,3
109763,216011,4
109763,204366,4
109763,158437,3
120242,910145,4
120242,907678,7
120242,906654,3
120242,817005,8
120242,815847,3
120242,814805,3
120242,813991,3
120242,812910,4
120242,812407,6
120242,812184,6
120242,812064,3
120242,811939,5
120242,811210,10
120242,809399,3
120242,808768,9
120242,806165,6
120242,805884,4
120242,804205,4
120242,250291,3
120242,204366,8
120242,188811,16
120242,135600,11
120242,109486,3
120242,108296,4
120242,101146,4
150303,910238,6
150303,907594,8
150303,903400,6
150303,811281,3
150303,811040,9
150303,809272,3
150303,804679,3
150303,800967,8
150303,800799,7
150303,210037,4
150303,169836,4
150303,12559,19
158563,907678,3
158563,811299,5
158563,811073,3
158563,803860,7
158563,802092,11
158563,222611,4
158563,204366,8
158563,184173,4
158563,170689,3
158563,109486,3
158563,82880,6
158563,14569,3
158563,10922,4
173256,907594,3
173256,904042,8
173256,811281,3
173256,809303,6
173256,809272,5
173256,807262,8
173256,803469,3
173256,801107,12
173256,800967,4
173256,12559,15
249650,936263,3
249650,909716,4
249650,820900,5
249650,815965,4
249650,814805,3
249650,814436,5
249650,811549,4
249650,808934,3
249650,808788,4
249650,808434,3
249650,808237,6
249650,807707,3
249650,802092,6
249650,216011,4
249650,82880,5
249650,10922,5
253152,933397,3
253152,909716,8
253152,820900,4
253152,817898,5
253152,812060,3
253152,811775,4
253152,811299,6
253152,808434,3
253152,807202,5
253152,805673,4
253152,803860,5
253152,802712,3
253152,802092,4
253152,223886,3
253152,204366,4
253152,94612,3
253152,82880,3
253152,10922,7
282750,909716,5
282750,811775,4
282750,811549,4
282750,811299,7
282750,808788,3
282750,808434,6
282750,808237,3
282750,807202,5
282750,804164,3
282750,803860,8
282750,802092,3
282750,82880,3
542621,912637,3
542621,907676,3
542621,810575,4
542621,810555,3
542621,810088,5
542621,805673,10
542621,802882,6
814684,907678,3
814684,819660,3
814684,817005,5
814684,811073,3
814684,810140,6
814684,804688,4
814684,802092,6
814684,204366,8
814684,188811,5
814684,108171,4
814684,90710,12
814684,10922,3
89347,1052546574,4
89347,933278,5
89347,910882,10
89347,818206,3
89347,812136,3
89347,811364,6
89347,811352,4
89347,811252,3
89347,811238,10
89347,810486,3
89347,802432,5
119214,919485,4
119214,905303,3
119214,814919,4
119214,814314,5
119214,814281,3
119214,812644,8
119214,812612,5
119214,811252,6
119214,805728,3
119214,805701,4
119214,802566,3
119214,94425,7
119214,81707,10
119214,78341,6
119214,72661,5
119877,913418,5
119877,817579,3
119877,808180,4
119877,807330,9
119877,805728,7
128531,924883,5
128531,909031,3
128531,812612,4
128531,811252,3
128531,809553,5
128531,809106,4
128531,808935,5
128531,806028,3
128531,802192,4
128531,14121,3
133408,935925,3
133408,924901,3
133408,924883,3
133408,902790,10
133408,811510,3
133408,803575,4
133408,802766,11
133408,802533,13
133408,801266,12
133408,801125,4
133408,152914,3
146224,935925,4
146224,902790,3
146224,816612,3
146224,811510,3
146224,810441,3
146224,803575,5
146224,802766,19
146224,802533,4
146224,802399,4
146224,801266,8
147170,902790,5
147170,816612,12
147170,811510,8
147170,809199,5
147170,806060,4
147170,803609,4
147170,803575,5
147170,802766,13
147170,802533,3
147170,801266,19
147170,801125,3
147170,21182,3
148634,932579,7
148634,919485,4
148634,910882,9
148634,909031,8
148634,811559,5
148634,809928,3
148634,809603,5
148634,809579,3
148634,809553,5
148634,809118,6
148634,809019,7
148634,808635,4
148634,808180,5
148634,807330,7
148634,806886,3
148634,806028,3
148634,804540,4
148634,802192,5
148634,11540,3
151156,924901,12
151156,924883,8
151156,902790,3
151156,814790,3
151156,809813,3
151156,807416,5
151156,806116,3
151156,804999,3
151156,802766,7
151156,802533,3
151156,801266,6
151156,204318,3
151156,14121,3
151156,10922,3
153644,932579,6
153644,910882,10
153644,910784,3
153644,904263,4
153644,814521,3
153644,813606,3
153644,811605,7
153644,811559,4
153644,810570,3
153644,809783,3
153644,809603,9
153644,809106,3
153644,808935,6
153644,806886,8
168613,1051211885,3
168613,932579,9
168613,924901,41
168613,912409,5
168613,910882,6
168613,910784,3
168613,817733,4
168613,816216,13
168613,811616,3
168613,811559,6
168613,810227,4
168613,810038,3
168613,809928,5
168613,809783,6
168613,809466,4
168613,808717,5
168613,806886,5
168613,804297,7
168613,802533,4
168613,802432,3
172868,932579,3
172868,910882,14
172868,910784,3
172868,904263,5
172868,816372,3
172868,815768,5
172868,814667,5
172868,814521,3
172868,814284,3
172868,811605,8
172868,811364,4
172868,811152,3
172868,810486,4
172868,810227,5
172868,809248,4
172868,806886,4
172868,802432,14
179610,404805873,3
179610,819997,5
179610,815063,5
179610,812371,6
179610,811617,11
179610,809332,21
179610,807952,3
179610,806838,6
179610,806821,12
179610,227788,11
179610,205625,4
179610,194659,4
179610,168586,4
179610,90756,3
179610,58298,14
179610,48777,3
179610,21182,8
179610,10922,4
199918,810704,7
199918,805728,3
199918,805545,3
199918,803007,9
199918,188688,3
199918,168586,11
199918,913418,4
199918,909031,3
199918,904945,7
199918,817794,4
199918,816120,3
215306,924901,16
215306,904945,3
215306,814919,3
215306,812229,7
