i,d,w
129453660,801292,14
909716,804301,67
909716,802028,13
909716,801350,67
909716,801310,20
909716,801292,4
909716,801137,38
909390,802120,4
909390,801292,9
817898,802315,3
817898,801310,34
817898,801137,15
813841,802315,3
813841,801310,45
813841,801137,37
812482,801350,11
812482,801310,15
812482,801292,9
812482,801137,52
812060,801292,7
811549,801310,28
811549,801137,32
810395,801292,31
809174,801815,18
809174,800899,23
808788,801292,77
808434,804301,61
808434,801350,50
808434,801310,4
808434,801292,9
808434,801137,10
808237,804301,59
808237,801350,19
808237,801310,6
808237,801292,13
808237,801137,9
807978,801137,3
807851,804301,50
807851,802028,5
807851,801350,18
807851,801310,4
807851,801292,9
807851,801137,20
803860,804301,13
803860,801350,6
802154,801310,7
802154,801137,18
250291,801292,15
222611,801292,8
184173,801292,8
78326,801949,3
78326,800899,23
808934,801292,76
807707,801292,4
807202,801815,3
223886,801292,7
205202,801292,14
82880,802120,3
819997,802120,6
817315,802120,4
815063,802120,9
812371,802120,11
806821,802120,4
804996,802315,4
803567,801292,54
803261,804301,8
803261,802315,22
803261,801310,95
803261,801137,185
802898,802120,53
801266,801185,26
801204,801292,143
139941,801292,27
21182,801292,90
21182,801185,3
14121,802120,28
14121,801292,25
913418,802120,5
908251,801185,17
817794,804301,25
817794,801350,11
816120,804301,16
816120,801350,19
816014,804301,34
816014,802028,4
816014,801350,17
812476,804301,28
812476,801310,97
812476,801137,26
812182,802120,3
812182,801350,5
812182,801137,12
811961,801185,26
811961,801949,3
811961,801292,7
811715,801137,14
808935,804301,6
808935,802315,3
808935,802120,15
808935,801350,8
808935,801310,72
808935,801137,24
808180,804301,15
808180,802120,15
808180,801350,12
808180,801310,49
808180,801137,15
807330,804301,15
807330,802315,7
807330,802120,8
807330,801350,20
807330,801310,77
807330,801137,76
805728,804301,27
805728,802315,17
805728,801350,41
805728,801310,75
805728,801137,74
805545,804301,30
805545,801350,5
803034,802120,119
803007,801310,20
803007,801137,9
188688,802120,4
77245,802120,3
919485,804301,7
919485,802315,8
919485,801350,17
919485,801310,36
919485,801137,23
810704,802120,26
810359,804301,25
810359,802120,14
810359,801350,60
810359,801310,3
810359,801137,18
809603,802315,10
809603,802120,3
809603,801350,19
809603,801310,51
809603,801137,21
809603,804301,6
806028,802120,45
802192,801350,5
85686,801292,4
812648,802120,15
812451,804301,3
812451,801310,102
812451,801137,58
810530,804301,6
810530,802315,4
810530,801310,171
810530,801137,93
801870,802315,73
801870,802028,4
801870,801350,6
801870,801310,4
801870,801185,3
924883,801310,127
924883,801137,101
902790,804301,6
902790,801350,17
813153,801310,30
813153,801137,74
809813,802315,3
809813,801949,15
809813,801185,9
809369,804301,10
809369,801350,31
809118,801949,23
809118,801815,7
809118,801185,25
809118,801137,3
808366,801350,34
808366,804301,14
807228,801310,87
807228,801137,71
806116,801350,11
806116,801310,40
806116,801137,64
804999,804301,67
804999,801350,56
803575,801350,18
802766,804301,46
802766,801350,127
800518,801292,50
800518,801185,24
342502,801815,7
342502,801350,6
810944,804301,25
810944,801350,44
810944,801310,60
810944,801137,24
809199,802315,4
809199,801310,133
809199,801137,57
809059,804301,15
809059,801350,45
809059,801310,21
809059,801137,100
808044,804301,67
808044,801350,63
807423,804301,5
807423,801350,23
807423,801137,44
803609,804301,28
803609,801350,74
803609,801137,16
910718,801350,3
908089,802315,86
908089,801137,90
816612,801350,3
811617,802120,16
809496,804301,22
809496,801350,69
809496,801310,15
809496,801137,55
806838,801350,4
801571,801949,5
801571,801815,6
801571,801185,460
801189,804301,4
801189,802315,247
