bodyId,type,side,post,nt,group
129453660,AN19B098,R,592,acetylcholine,263534
909716,IN06A022,R,587,gaba,807330
909390,"IN19B045,IN19B052",R,768,acetylcholine,803467
817898,"IN06A126,IN06A137",R,309,gaba,805545
813841,"IN06A126,IN06A137",R,413,gaba,805545
812482,IN06A127,R,493,gaba,812288
812060,AN19B099,R,666,acetylcholine,166468
811549,IN06A124,R,576,gaba,811549
810395,IN06A097,R,544,gaba,808788
809174,IN03B069,R,1206,gaba,809174
808788,IN06A097,R,791,gaba,808788
808434,IN06A042,R,769,gaba,808237
808237,IN06A042,R,941,gaba,808237
807978,IN06A094,R,1014,gaba,805144
807851,IN06A042,R,1046,gaba,807851
803860,IN06B042,L,2795,gaba,803007
802154,IN07B033,R,2256,acetylcholine,802154
250291,AN19B079,R,870,acetylcholine,180085
222611,AN19B079,R,805,acetylcholine,152565
184173,AN19B099,R,680,acetylcholine,149458
78326,IN03B058,R,1012,gaba,78326
808934,IN06A069,R,598,gaba,806028
807707,IN06A116,R,658,gaba,807707
807202,IN02A032,R,770,glutamate,807202
223886,AN19B101,R,656,acetylcholine,188688
205202,AN19B101,R,650,acetylcholine,188688
82880,AN04A001,R,5417,acetylcholine,82880
819997,IN08B036,L,314,acetylcholine,812371
817315,IN08B070_a,L,214,acetylcholine,814224
815063,IN08B036,L,347,acetylcholine,815063
812371,IN08B036,L,484,acetylcholine,812371
806821,IN08B008,L,1066,acetylcholine,803937
804996,IN06B077,R,1856,gaba,804996
803567,INXXX173,R,1173,acetylcholine,802898
803261,INXXX142,R,1997,acetylcholine,803261
802898,INXXX173,L,1721,acetylcholine,802898
801266,IN06B014,R,3669,gaba,801107
801204,AN06B089,R,5081,gaba,22210
139941,AN11B012,L,1725,gaba,139941
21182,AN06B014,R,2548,gaba,12559
14121,AN08B010,R,3490,acetylcholine,10922
913418,AN19B101,L,693,acetylcholine,188688
908251,IN11B018,L,767,gaba,811299
817794,"IN06A126,IN06A137",L,369,gaba,805545
816120,"IN06A126,IN06A137",L,440,gaba,805545
816014,"IN06A126,IN06A137",L,435,gaba,805545
812476,IN03B072,L,998,gaba,810676
812182,IN06A116,L,424,gaba,804164
811961,IN11B019,L,624,gaba,811961
811715,IN06A116,L,512,gaba,804164
808935,IN06A042,L,974,gaba,808237
808180,IN06A042,L,1009,gaba,807851
807330,IN06A022,L,731,gaba,807330
805728,IN06A022,L,585,gaba,805728
805545,"IN06A126,IN06A137",L,376,gaba,805545
803034,IN06A008,L,1979,gaba,802712
803007,IN06B042,R,3043,gaba,803007
188688,AN19B101,L,620,acetylcholine,188688
77245,AN06B051,L,1697,gaba,77245
919485,IN06A032,L,927,gaba,809555
810704,IN06A097,L,839,gaba,808788
810359,IN06A086,L,664,gaba,809140
809603,IN06A042,L,973,gaba,807851
806028,IN06A069,L,787,gaba,806028
802192,IN07B033,L,2322,acetylcholine,802154
85686,AN06B051,R,1559,gaba,77245
812648,IN19B071,L,335,acetylcholine,810094
812451,IN03B063,L,619,gaba,812451
810530,IN03B063,L,591,gaba,809399
801870,INXXX076,L,1476,acetylcholine,801618
924883,IN11B012,L,3642,gaba,802882
902790,w-cHIN,L,4326,acetylcholine,800967
813153,IN11A031,L,1078,acetylcholine,813153
809813,IN03B069,L,1071,gaba,809174
809369,IN07B086,L,498,acetylcholine,808931
809118,IN03B069,L,1160,gaba,809118
808366,IN07B086,L,645,acetylcholine,806974
807228,IN11A037_b,L,1420,acetylcholine,807228
806116,IN11A031,L,1608,acetylcholine,806116
804999,IN07B086,L,877,acetylcholine,804999
803575,w-cHIN,L,3526,acetylcholine,803575
802766,IN18B020,L,3210,acetylcholine,802766
800518,IN02A026,L,2606,glutamate,800518
342502,AN18B004,L,6449,acetylcholine,18714
810944,IN06B087,R,914,gaba,807966
809199,IN12A050_b,L,1146,acetylcholine,809199
809059,IN11A028,L,1230,acetylcholine,809059
808044,IN07B086,L,834,acetylcholine,807580
