s,i,w
63807,166263,9
63807,154109,3
63807,44855,3
63807,25517,5
63807,24995,3
63807,23691,3
63807,22967,4
63807,22881,3
63807,19036,3
63807,15276,5
63807,14479,6
63807,14345,4
63807,12562,35
63807,11040,4
63807,10334,7
10863,157694,15
10863,154599,4
10863,29571,5
10863,27187,12
10863,25532,3
10863,25260,4
10863,23825,6
10863,22731,5
10863,17497,4
10863,17170,4
10863,13109,22
10863,11040,10
10863,10510,3
10863,10366,10
11230,157694,7
11230,154219,6
11230,29571,4
11230,23825,8
11230,23709,3
11230,22731,13
11230,19653,6
11230,17497,15
11230,17170,3
11230,13377,12
11230,13353,4
11230,13220,3
11230,13109,37
11230,11040,13
11230,10366,14
11230,10073,13
11705,24995,6
11705,21164,6
11705,20149,4
11705,20027,5
11705,19653,3
11705,13381,3
11705,13377,15
11705,13353,12
11705,13220,6
11705,13109,5
11705,11040,20
11705,10366,22
11705,10132,5
11705,10073,33
11773,171422,3
11773,154599,6
11773,29571,4
11773,22301,8
11773,21251,4
11773,20027,3
11773,19653,3
11773,19310,5
11773,18895,4
11773,16606,5
11773,15276,19
11773,14345,3
11773,13872,8
11773,13377,7
11773,13353,6
11773,12562,15
11773,11040,27
11773,10510,8
11773,10366,18
11773,10073,21
12081,23709,3
12081,23548,5
12081,23434,3
12081,22705,4
12081,22080,4
12081,21455,3
12081,21418,3
12081,21164,3
12081,20677,7
12081,20027,5
12081,19310,3
12081,19303,6
12081,19036,16
12081,17108,4
12081,16070,5
12081,15565,8
12081,13872,4
12081,13377,3
12081,13126,3
12081,12906,7
12081,12656,4
12081,12562,34
12081,11040,15
12081,10510,4
12081,10366,10
12081,10132,3
12081,10073,20
12297,172682,6
12297,159325,10
12297,159160,3
12297,155337,3
12297,28331,3
12297,26053,5
12297,25259,7
12297,23709,4
12297,23475,15
12297,22731,4
12297,22301,8
12297,21713,5
12297,21573,7
12297,21455,4
12297,21088,5
12297,18490,5
12297,13109,31
12355,166320,3
12355,29591,5
12355,29571,6
12355,27891,6
12355,27187,32
12355,26137,3
12355,25260,3
12355,24539,8
12355,24356,3
12355,19653,4
12355,17170,4
12355,14479,10
12355,14182,4
12355,13587,8
12355,13381,3
12355,13109,7
12355,11040,23
12355,10667,9
12355,10510,9
12355,10366,3
12664,156948,6
12664,154599,5
12664,27042,6
12664,25244,4
12664,24356,3
12664,22705,3
12664,22301,6
12664,22080,4
12664,20149,4
12664,20027,4
12664,19303,3
12664,19036,5
12664,15276,5
