bodyId,type,side,post,nt,group
166263,IN12A050,L,905,acetylcholine,17273
154109,AN07B072,L,528,acetylcholine,24555
44855,IN06B087,R,539,glutamate,27768
25517,IN11A028,L,1705,glutamate,23954
24995,IN07B081,L,1643,acetylcholine,23434
23691,IN07B086,L,875,acetylcholine,23691
22967,IN11A031,L,1817,glutamate,16122
22881,IN06A086,L,981,gaba,17855
19036,IN16B099,L,840,glutamate,19036
15276,IN19B033,R,5611,acetylcholine,13295
14479,IN18B020,L,3694,acetylcholine,14479
14345,IN06B017,R,2432,gaba,14345
12562,AN06B014,R,2735,glutamate,12562
11040,IN06B014,R,5187,gaba,11040
10334,AN18B004,L,8832,acetylcholine,10334
157694,IN07B079,L,634,acetylcholine,25051
154599,IN07B086,L,1360,glutamate,15449
29571,IN07B096,L,580,acetylcholine,29591
27187,IN11B012,L,4864,gaba,14590
25532,IN11A028,L,2589,glutamate,13738
25260,IN03B069,L,973,glutamate,19454
23825,IN07B083,L,671,acetylcholine,23825
22731,IN07B079,L,677,acetylcholine,22388
17497,IN07B079,L,625,acetylcholine,17497
17170,IN19B053,L,824,acetylcholine,17170
13109,IN06A002,L,10148,glutamate,13109
10510,w-cHIN,L,4316,glutamate,10510
10366,w-cHIN,L,6654,glutamate,10170
154219,IN07B079,L,501,acetylcholine,14729
23709,IN16B087,L,1095,glutamate,14132
19653,IN16B066,L,935,glutamate,19653
13377,IN12A043,L,2433,acetylcholine,13377
13353,IN03B037,L,2393,acetylcholine,13353
13220,IN12A018,L,3206,acetylcholine,13220
10073,w-cHIN,L,9034,glutamate,10073
21164,IN06A075,L,502,gaba,17508
20149,IN06A075,R,786,gaba,17508
20027,IN06A075,R,611,gaba,17508
13381,INXXX119,R,3064,gaba,12785
10132,IN03B005,L,10951,glutamate,10132
171422,IN12A018,L,2807,acetylcholine,27161
22301,IN02A040,L,859,glutamate,22301
21251,IN06A075,R,517,gaba,17508
19310,IN12A050,L,1626,glutamate,17273
18895,IN16B063,L,1146,glutamate,18895
16606,IN12A035,L,1321,glutamate,14639
13872,INXXX173,L,2157,acetylcholine,13593
23548,IN16B099,L,280,glutamate,23548
23434,IN07B081,L,984,acetylcholine,23434
22705,INXXX076,L,1823,acetylcholine,12011
22080,IN06A075,L,477,gaba,17508
21455,IN16B059,L,1146,glutamate,15269
21418,IN06A075,R,479,gaba,17508
20677,IN06A090,L,745,gaba,22639
19303,IN12A050,L,1863,glutamate,17273
17108,IN06A016,L,1809,gaba,14740
16070,IN17A057,L,2156,acetylcholine,14936
15565,IN07B031,L,1397,glutamate,15565
13126,IN06B017,R,2259,gaba,13126
12906,IN06A013,L,2855,gaba,12906
12656,AN06B090,L,1654,gaba,12469
172682,IN03B058,L,1280,gaba,21430
159325,IN03B058,L,1515,gaba,21430
159160,IN07B099,L,803,acetylcholine,28331
155337,IN16B104,L,767,glutamate,155337
28331,IN07B099,L,891,acetylcholine,28331
26053,IN07B087,L,570,acetylcholine,15656
25259,IN07B087,L,469,acetylcholine,15656
23475,IN02A049,L,968,glutamate,23475
21713,IN03B058,L,1393,gaba,21430
21573,IN16B093,L,1057,glutamate,21573
21088,IN03B060,L,1285,gaba,16455
18490,IN07B087,L,583,acetylcholine,15656
166320,IN07B086,L,688,glutamate,27244
29591,IN07B096,L,477,acetylcholine,29591
27891,IN11A037,L,1587,glutamate,27665
26137,IN11A034,L,1047,acetylcholine,23561
24539,IN06A094,L,832,glutamate,14482
24356,IN06A075,R,543,gaba,17508
14182,IN03B069,L,1326,glutamate,14182
13587,IN06A020,L,4259,gaba,12954
10667,w-cHIN,L,4779,glutamate,10667
156948,IN16B099,L,394,glutamate,22578
27042,IN16B099,L,325,glutamate,27042
25244,IN16B099,L,283,glutamate,22578
