i,d,w
166263,10131,55
166263,10013,92
154109,10766,4
154109,10064,5
44855,10131,36
44855,10067,4
44855,10064,37
44855,10017,45
44855,10013,21
25517,10131,94
25517,10064,45
25517,10017,14
25517,10013,15
24995,10131,4
24995,10067,27
24036,10067,4
23691,10064,49
23691,10017,29
22967,10131,115
22967,10064,3
22967,10013,26
22881,10521,3
22881,10131,23
22881,10067,6
22881,10064,43
22881,10017,30
22338,10067,9
21288,10067,10
20371,10067,5
19036,10521,28
19036,10131,70
19036,10064,3
19036,10017,6
19036,10013,24
17606,10055,3
17481,10067,15
15625,10067,35
15276,10131,76
15276,10064,8
15276,10017,9
15276,10013,59
14479,10131,6
14479,10064,136
14479,10017,67
14345,10013,7
14138,10055,3
12562,10543,3
12562,10055,82
12236,10055,190
11040,10543,34
10334,11294,5
10334,10778,7
10334,10766,3
10334,10064,14
10334,10017,9
157694,10766,5
155137,10055,32
154599,10064,55
154599,10017,91
29571,10064,8
27187,10131,95
27187,10013,151
26518,10067,7
25532,10131,102
25532,10064,36
25532,10017,28
25532,10013,44
25260,10543,14
25260,10270,8
23825,11294,48
23825,10766,9
23275,10055,11
22731,10766,3
17497,10766,4
17170,11294,33
17170,10778,39
17170,10017,6
13109,11294,64
13109,10778,6
13109,10766,9
13109,10543,201
13109,10521,5
13109,10270,44
10510,10064,93
10510,10017,3
10366,10064,22
10366,10017,30
154219,10766,22
23709,10543,9
23208,10055,4
21396,10067,32
19653,10543,3
13377,10131,7
13377,10064,4
13377,10017,22
13377,10013,21
13353,10778,18
13353,10521,3
13353,10131,14
13353,10064,11
13220,10521,30
13220,10017,60
13220,10013,178
10073,10064,25
10073,10017,22
22666,10067,19
21703,10067,20
21164,10064,48
21164,10017,3
20149,10131,53
20027,10131,58
20027,10055,3
18164,10067,17
13381,10521,4
13381,10270,5
10132,10017,4
171422,10778,7
171422,10521,26
171422,10017,42
171422,10013,103
22301,10521,10
21251,10131,68
19310,10521,4
19310,10131,105
19310,10013,116
18895,10521,71
18895,10131,82
18895,10017,4
18895,10013,17
16606,10131,52
16606,10064,6
16606,10013,35
15945,10067,88
13872,10521,7
13872,10067,38
11702,10067,21
11702,10055,23
23548,10521,15
23548,10131,107
23548,10013,33
23434,11294,3
23434,10766,3
22705,10521,103
22080,10064,61
22080,10017,12
21455,10543,19
21418,10131,54
20677,10064,20
19303,10521,3
19303,10131,91
19303,10013,145
17108,10131,13
16070,10521,86
16070,10270,16
16070,10131,103
15565,10131,7
13126,10013,3
12906,11294,4
12906,10543,3
12906,10055,40
12821,10067,20
12821,10055,5
12656,11294,7
12656,10766,14
172682,10766,5
172682,10270,46
159325,10543,5
159325,10270,35
159160,10543,3
155337,10543,3
28331,11294,5
26053,10778,4
25259,10778,4
24512,10067,20
24483,10055,41
23475,10521,4
22641,10055,33
22406,10055,66
21713,10766,30
21713,10543,3
21713,10270,41
21573,10543,9
21088,10131,31
21088,10013,16
20573,10055,98
19884,10055,21
19817,10067,82
19553,10067,79
18490,10778,3
17589,10067,102
16214,10067,91
15910,10055,96
13350,10067,12
166320,10064,79
166320,10017,90
29591,10064,6
27891,10131,54
27891,10013,100
26137,10131,12
24539,10017,5
24356,10131,57
24356,10013,6
16440,10055,5
14182,11294,15
14182,10543,46
14182,10270,25
13587,11294,7
13587,10543,19
10667,10064,115
10667,10017,7
156948,10521,19
156948,10131,83
156948,10013,31
27042,10131,67
25244,10131,65
25244,10013,8
17768,10055,16
12842,10064,4
24763,10067,8
20388,10064,69
20388,10017,11
19589,10013,5
18063,10067,19
14403,10766,14
14403,10270,15
13496,10543,7
13496,10521,4
13496,10270,12
13496,10131,8
13496,10055,20
12840,10778,15
12840,10521,173
12840,10131,303
12840,10017,5
12840,10013,244
12591,10521,3
163396,10131,12
163396,10013,11
159210,10131,12
159210,10017,4
159210,10013,9
156404,10543,3
156404,10521,7
156404,10131,8
154709,11294,6
154709,10543,4
152816,10131,16
152816,10013,21
101335,10067,17
100541,10055,16
29384,10067,20
25017,10521,4
21873,10131,28
21873,10013,14
21623,10131,15
21623,10017,7
21623,10013,14
20730,10131,37
20730,10013,25
19780,10521,5
19780,10131,74
19780,10017,9
19780,10013,106
17811,10131,37
17811,10013,10
17078,10055,12
16455,10131,33
16455,10013,25
16240,10067,99
15900,10131,38
15900,10013,17
15600,10055,3
15307,10055,5
14743,10067,109
13895,10067,113
13305,10067,94
13094,10067,92
11700,10778,3
11700,10131,4
11700,10064,17
11700,10055,7
11700,10017,27
43933,10766,5
30443,10055,4
30239,10778,4
30239,10064,21
30239,10017,44
25744,10055,5
25158,10131,20
25158,10017,43
25158,10013,91
24221,10766,3
23969,10131,33
23969,10017,25
23969,10013,115
20913,10131,17
20913,10055,4
20670,10067,21
19935,10521,29
19935,10131,81
19935,10067,3
19935,10064,51
19935,10017,30
19935,10013,81
19688,10521,17
19688,10131,80
19688,10067,14
19688,10064,11
19688,10017,15
19688,10013,62
18872,10067,29
18666,10131,30
18666,10013,7
18513,10131,30
18513,10017,30
18513,10013,110
17723,10067,15
16454,10067,21
15440,10131,69
15440,10064,36
15440,10017,24
15440,10013,89
15207,10521,10
15207,10131,66
15207,10064,55
15207,10017,32
15207,10013,72
14377,10131,56
14377,10067,3
14377,10064,29
14377,10017,22
14377,10013,99
12858,10131,5
12858,10067,3
12858,10064,5
12858,10013,3
11182,10543,3
11182,10131,5
11182,10055,351
24045,10521,3
17943,10521,13
17943,10131,34
17943,10067,25
17943,10017,13
17943,10013,85
16826,10521,12
16826,10131,22
16826,10067,23
16826,10064,12
16826,10017,37
16826,10013,62
14261,10067,10
14261,10055,20
13503,10055,87
13290,10778,3
13290,10131,7
13290,10064,22
13290,10017,13
101336,10131,80
101336,10064,17
101336,10013,27
24153,10131,4
24153,10064,77
24153,10017,70
28262,10064,19
14639,10131,22
14639,10064,4
14448,10055,68
13497,10131,4
13497,10064,7
13497,10017,10
153509,10067,83
28122,10067,42
24740,10055,13
24729,10067,24
23673,10778,8
23673,10521,7
23673,10131,20
23673,10067,7
23673,10064,36
23673,10017,22
23673,10013,6
21172,11294,60
21172,10778,26
21172,10766,55
17814,10543,6
17814,10131,33
16152,10521,16
16152,10131,23
16152,10064,7
16152,10017,5
16152,10013,21
16025,10055,3
41002,10778,3
41002,10064,30
41002,10017,61
22766,10131,44
20770,10131,48
20770,10013,3
16700,10067,35
12573,10067,138
12112,10131,46
12112,10067,6
12112,10064,42
12112,10017,9
12112,10013,97
11917,10131,28
11917,10064,21
11917,10017,23
11917,10013,43
11138,10270,3
11138,10067,52
11138,10055,369
16085,10766,6
162396,10064,6
25770,10521,11
25770,10131,25
25770,10013,59
23577,10067,21
21099,10543,4
21099,10270,3
21099,10131,26
21099,10064,12
21099,10017,10
21099,10013,14
33421186597,11294,4
33421186597,10055,11
157963,10067,27
156686,10131,49
156686,10013,48
102677,10131,6
102677,10064,9
42067,10064,12
28719,10064,6
28106,10064,11
22660,10067,10
21960,10067,13
21644,10521,3
20143,10067,16
19026,10067,11
18786,10067,6
18499,10067,5
17822,10067,88
16423,10055,11
16255,10067,38
14295,10055,14
13667,10131,325
13667,10064,17
13667,10055,7
13667,10017,5
13667,10013,8
13552,10067,27
13026,10067,137
13026,10055,22
10177,10778,66
10177,10064,15
164554,10521,8
164554,10131,21
164554,10013,62
159065,11294,24
159065,10766,10
159065,10131,4
152857,10131,79
152857,10064,48
152857,10017,32
152857,10013,21
18247,10521,6
14971,11294,8
14971,10543,44
14524,11294,74
14524,10778,26
14524,10766,19
13678,10778,6
13678,10131,5
13678,10064,6
13678,10017,20
13678,10013,14
11344,10521,8
11344,10131,9
11344,10067,12
11344,10013,4
166420,10055,6
158132,10131,14
158132,10067,4
158132,10064,6
158132,10017,15
35564,10131,19
35564,10017,42
35564,10013,73
35511,10064,7
33631,10778,6
33631,10064,25
33631,10017,24
27092,10067,26
24112,10067,8
23589,10543,6
20863,10067,20
20348,10521,9
20348,10131,39
20348,10067,5
20348,10064,8
20348,10017,10
20348,10013,20
14254,10521,10
14254,10131,79
14254,10064,37
14254,10017,32
14254,10013,86
158788,10067,40
27966,10131,3
26372,10766,6
20175,11294,8
20175,10543,18
20175,10270,43
18514,10067,18
14250,10067,6
14250,10055,32
43240,10067,13
43240,10064,4
24363,10067,5
23534,10067,11
21503,10067,5
21240,10067,17
18899,10055,56
16686,10055,49
13915,10067,16
13456,10067,34
102678,11294,3
102678,10543,24
23928,10778,7
152548,10131,51
152548,10064,65
152548,10017,11
152548,10013,18
25241,10521,33
19157,10055,86
26819,10067,11
17191,10766,4
17191,10521,4
17191,10131,45
17191,10064,20
17191,10017,9
17191,10013,12
22955,10067,4
13028,10064,309
13028,10017,12
168448,10131,26
168448,10013,40
35750,10067,23
20003,10131,6
20003,10013,3
18583,10131,33
18583,10013,65
17148,10131,35
17148,10013,65
17111,10131,35
17111,10013,48
15194,10067,4
159326,10017,24
159326,10013,6
156274,10521,5
156274,10131,34
156274,10013,14
152815,10131,27
152815,10013,29
25173,10131,22
25173,10017,56
25173,10013,83
25126,10055,7
20676,10131,31
20676,10013,27
19885,10067,3
19559,10521,4
19559,10131,29
19559,10013,18
19441,10067,14
19039,10521,18
19039,10131,104
19039,10017,12
19039,10013,122
17527,10055,12
20519,10778,9
20519,10766,3
20519,10521,8
20519,10270,6
11563,10067,22
11563,10064,3
11563,10055,13
166261,10778,16
166261,10064,31
166261,10017,63
25692,10067,19
20160,10131,35
16630,10521,20
16630,10131,27
16630,10067,5
16630,10064,17
16630,10017,18
16630,10013,34
10322,10131,9
28469,11294,4
13691,10064,4
172560,10131,7
172560,10013,3
154600,10064,39
154600,10017,69
29397,10543,61
29397,10270,11
28701,10543,70
28701,10270,6
28038,10543,3
28038,10055,5
25676,11294,6
25676,10543,92
25676,10270,20
25478,10067,6
24321,10067,5
23738,10067,7
18677,10131,11
14584,10067,3
13779,10067,64
22019,10067,7
21049,10067,13
18091,10067,26
194549,10778,5
194549,10131,12
194549,10064,41
194549,10017,13
194549,10013,3
101436,10766,6
101436,10270,3
101436,10131,12
101436,10064,36
101436,10017,33
101436,10013,10
18188,10131,47
18188,10064,32
10451,10543,6
10451,10131,12
10451,10013,4
24425,10064,42
24425,10017,5
24056,10067,46
23954,10131,62
23954,10064,100
23954,10017,39
23954,10013,12
20839,10067,27
18232,10778,10
18232,10521,27
18232,10270,7
18232,10131,51
18232,10064,25
18232,10013,3
13084,10766,6
13084,10270,68
13084,10067,10
13084,10055,5
11617,10055,67
11224,10270,14
11224,10131,98
158479,10131,7
158479,10067,6
158479,10017,3
157188,10778,4
157188,10131,16
157188,10067,5
157188,10064,42
157188,10017,10
68570,10543,5
28238,10131,4
27560,10131,7
27560,10067,10
26231,10131,9
26231,10067,7
23482,10067,5
19449,10067,3
174427,10131,25
174427,10064,30
174427,10017,59
174427,10013,72
159246,10067,4
153224,10270,11
153224,10055,9
36986,10067,17
22469,10543,8
22469,10131,11
18544,10067,7
14410,10067,17
12889,10131,18
12845,10131,6
24664,10131,14
24664,10013,57
21627,10064,66
18283,10131,46
18283,10013,90
33512,10131,54
33512,10064,9
33512,10013,39
12130,11294,3
12130,10778,249
12130,10766,9
12130,10543,6
12130,10521,348
12130,10270,40
12130,10131,13
12130,10064,9
12130,10017,4
12130,10013,13
26504,10067,20
19615,10766,8
19615,10270,36
18719,10067,8
18719,10055,17
17631,10055,3
13616,10521,10
23007,10067,36
20253,10521,6
14016,10067,3
14016,10055,17
16512,10067,5
154861,10521,5
154861,10131,23
154861,10013,61
27273,10131,60
27273,10013,110
16602,10067,22
157281,10521,6
157281,10131,19
157281,10013,70
27429,10521,3
27429,10131,16
27429,10013,66
21208,10064,103
21064,10131,63
17508,10064,78
17508,10017,5
16770,10131,48
16770,10017,5
16770,10013,110
157652,10055,26
23128,11294,12
23128,10778,5
23128,10766,63
22043,10067,21
20375,11294,32
20375,10778,8
31867,10064,20
29570,10543,16
18816,10543,46
18816,10521,20
156179,10055,8
15771,10778,3
28826,10131,3
24287,10131,9
24287,10013,15
22445,10067,9
20490,10521,10
20490,10131,72
20490,10017,6
20490,10013,129
18361,10270,3
18361,10131,27
12262,10055,65
18262,10067,27
156765,10543,8
156765,10131,44
16662,10543,17
16662,10131,12
21409,10067,10
21092,10055,24
22895,10270,6
22895,10055,42
157389,10778,4
157389,10064,22
157389,10017,62
16105,10067,16
16105,10055,4
18925,10067,39
159066,10131,4
159066,10013,7
22869,10131,9
22869,10013,12
21217,10067,10
27003,11294,3
27003,10543,42
27003,10270,21
27003,10055,3
17656,10064,42
16115,10270,6
14629,10055,25
25235,10067,6
21126,10067,24
25151,10067,4
25151,10055,5
35927,10067,3
11802,10543,6
17976,10766,3
17976,10270,112
17976,10055,34
10625,10270,12
19025,10055,4
18672,10521,6
18672,10131,8
18672,10013,55
164180,10067,4
25588,10055,15
18484,10270,17
18484,10055,110
11611,10521,3
11611,10270,3
11611,10131,96
21385,10778,3
21385,10766,4
21385,10521,5
21385,10270,4
12910,10055,103
12910,10013,6
15605,10067,54
15605,10055,6
155613,11294,7
24505,10131,10
24505,10013,7
14776,10521,23
14776,10270,11
14776,10131,74
18908,10778,10
18908,10766,3
18908,10521,34
18908,10270,24
156607,10131,17
158815,10131,24
158815,10064,82
158815,10017,6
18701,10131,4
18701,10064,6
19356,10067,14
18638,11294,3
18638,10778,6
18638,10766,18
18638,10270,20
18638,10131,4
10098,10543,7
25135,10131,13
23571,10131,76
23571,10013,9
13306,11294,4
13306,10543,5
13306,10131,3
157726,10064,63
11681,11294,9
11681,10543,496
11681,10521,5
11681,10270,4
18640,10521,4
18559,10521,3
15744,10131,34
15744,10013,6
153286,11294,5
27161,10778,7
27161,10521,3
27161,10017,107
27161,10013,27
25470,10055,3
23755,10055,17
23563,10055,27
20462,11294,211
20462,10766,9
20462,10543,55
20462,10270,14
18952,11294,6
16185,10131,8
14224,10017,6
14029,10067,79
13799,10067,11
13799,10055,169
13435,10778,62
13435,10064,272
13435,10017,171
13435,10013,8
13266,10778,30
13266,10521,3
13266,10017,191
13266,10013,45
13224,10017,4
12469,10543,12
12469,10270,5
12312,11294,47
10755,10064,4
10699,10064,4
10611,10055,6
10170,10131,9
10170,10013,19
10105,10131,29
10105,10013,22
167360,10055,15
155062,10778,86
155062,10064,90
155062,10017,34
153640,10064,23
153640,10017,32
28429,10131,6
27485,10131,15
27485,10064,17
25219,10778,13
25219,10064,17
25219,10017,49
24241,10778,5
24241,10064,22
24241,10017,68
21952,10055,10
21830,10778,9
21830,10064,6
21830,10017,55
21390,10055,26
20164,10055,27
18680,10131,10
18680,10064,11
18680,10017,4
17410,10055,117
16247,10055,103
15435,10067,73
15390,10064,3
13593,10055,37
13288,10067,188
13288,10064,4
12337,10131,3
12011,10778,50
12011,10521,6
12011,10131,3
12011,10017,5
163855,10067,29
159900,10055,40
159288,10131,15
159288,10013,5
154880,11294,7
152391,10055,4
102942,10778,14
34902,10067,3
34902,10064,4
30487,10064,5
28627,10055,24
25261,10055,78
25247,10131,58
25247,10064,24
25247,10055,3
25247,10017,9
25247,10013,32
24649,10067,20
22354,10067,27
22246,10778,6
22078,11294,4
22078,10766,31
22078,10270,7
21677,10778,14
21677,10064,34
21677,10055,5
21677,10017,40
20726,10778,3
20726,10131,3
20726,10064,36
20726,10055,6
20726,10017,26
20691,10778,26
20528,10055,52
17855,10778,17
17855,10521,11
17855,10131,53
17855,10064,23
17855,10055,13
17855,10017,13
17801,10778,14
17801,10131,16
17801,10064,25
17801,10055,17
17801,10017,63
17801,10013,12
17058,10778,12
17058,10131,3
17058,10064,26
17058,10055,26
17058,10017,79
17058,10013,8
16122,10064,102
16122,10017,42
15697,10064,3
14590,10064,119
14590,10017,190
13612,10521,3
13612,10131,13
13612,10013,5
10823,10017,3
40030,11294,17
40030,10067,18
26710,10778,10
26710,10064,56
26710,10017,143
26584,10055,4
26198,10055,14
25992,10055,12
23265,11294,4
23265,10778,10
23265,10766,11
23265,10543,6
23265,10131,19
23265,10064,46
23265,10017,12
23265,10013,5
22191,10778,5
22191,10064,65
22191,10017,135
20401,10055,3
19851,10778,30
19851,10064,88
19851,10017,38
19851,10013,4
19386,10131,3
19342,10055,6
18573,10017,3
17273,10064,96
17273,10017,131
17119,10055,20
16263,10131,119
16263,10064,27
16263,10017,7
16263,10013,58
16166,10055,16
15990,10055,11
15102,10055,31
12216,11294,453
12216,10778,3
169911,10064,36
169911,10017,116
169911,10013,5
154996,10778,3
154996,10064,8
154996,10055,6
103483,10131,32
103483,10013,42
102708,10521,5
102708,10131,43
102708,10013,65
30035,10067,4
29817,10064,12
29817,10055,3
28909,10055,12
28585,10521,21
28585,10131,19
28585,10013,34
28551,10131,42
28551,10064,20
28551,10055,4
28551,10013,5
28267,11294,6
27395,10055,5
26304,10064,17
26304,10055,3
25076,10055,11
23771,10064,50
23771,10017,152
23164,11294,9
21686,10055,9
21620,10064,20
21620,10017,93
21620,10013,31
20993,10064,29
20993,10017,136
20993,10013,21
20376,10131,7
20376,10013,22
19321,10067,3
18200,10067,3
18200,10055,35
17535,10778,19
17535,10131,15
17535,10064,81
17535,10055,10
17535,10017,87
17535,10013,4
16783,10064,5
16155,10778,30
16155,10131,53
16155,10064,76
16155,10017,82
16155,10013,22
14532,10055,3
12228,10067,3
12228,10064,6
159205,10055,8
159085,10131,7
100784,10543,6
27702,10055,5
27665,10064,69
27665,10017,120
27244,10131,71
27244,10013,66
27203,10064,50
27203,10017,14
25192,10131,5
25192,10064,83
25192,10017,71
19915,11294,31
19915,10766,24
19915,10543,7
19454,11294,30
19454,10766,36
19454,10543,10
19454,10270,4
16622,10067,8
15449,10131,37
15449,10013,65
15132,10131,140
15132,10064,4
15132,10013,51
14026,11294,8
14026,10270,4
14026,10067,14
14026,10064,3
12954,11294,12
12954,10543,3
10668,10131,116
10668,10013,4
10632,11294,4
10632,10778,8
10632,10064,13
10468,10131,119
10468,10013,6
100988,10064,3
100988,10055,17
24602,10064,6
24602,10055,11
14740,10521,5
14740,10064,4
13206,11294,8
13206,10067,26
30748,11294,58
25100,10067,6
24817,10067,14
24702,10067,3
24151,11294,5
24151,10067,6
24025,10067,8
23894,10064,17
23894,10017,87
23894,10013,62
23529,10055,12
22632,10055,7
21892,10055,7
21841,10055,23
18931,10778,10
18931,10064,127
18931,10017,111
18617,10064,19
18617,10017,87
18617,10013,49
18384,10055,30
18367,10055,8
17554,10055,4
15979,10270,3
15626,10055,30
15187,10055,57
14308,10778,7
14308,10131,56
14308,10064,63
14308,10017,74
14308,10013,26
13682,10131,37
13682,10064,57
13682,10017,90
13682,10013,24
10764,11294,3
10764,10067,384
26374,10064,69
26374,10017,8
25897,10131,31
25897,10064,76
25897,10017,76
25897,10013,8
25012,10778,28
25012,10064,105
25012,10017,22
25012,10013,5
20131,11294,3
12785,10766,6
158944,10778,4
153199,10543,39
153199,10270,20
25051,10270,41
22947,10270,10
22388,10270,4
18736,10055,7
15092,10064,8
14729,10270,12
14132,11294,12
26091,10064,62
26091,10017,7
24856,10778,21
24856,10064,21
24856,10017,63
14936,10778,139
14936,10766,39
14936,10521,4
14936,10064,118
14936,10017,6
21929,10131,26
21929,10064,43
21929,10017,5
21929,10013,7
15850,10055,25
13539,10055,7
11111,10778,4
163217,10131,13
23561,10064,34
22578,10778,14
22578,10131,4
22578,10064,88
22578,10017,45
17516,10064,3
159728,10766,3
157443,10778,3
157443,10131,4
157443,10064,26
166827,10055,12
102018,10055,12
21504,10055,12
21498,10067,8
20506,10055,6
18637,10055,10
18477,10067,23
18477,10055,9
17392,10778,10
17392,10131,46
17392,10064,69
17392,10017,66
17392,10013,27
15696,10067,38
15433,10067,67
164042,11294,15
164042,10543,5
159206,11294,6
157193,10064,25
157193,10017,44
45116,11294,7
28393,11294,9
22328,10064,17
22328,10017,22
20426,10064,14
20426,10017,12
20133,10064,14
20133,10017,17
19368,10778,3
19368,10064,25
19368,10017,20
19116,10778,3
19116,10064,23
19116,10017,49
19033,10064,34
19033,10017,45
18385,10064,36
18385,10017,20
17704,10064,35
17704,10017,14
17607,10064,40
17607,10017,34
16778,10055,24
16349,10055,94
16121,10055,88
15483,10067,3
15125,10067,9
13148,10055,109
11593,10067,93
164112,10270,5
102707,10064,41
102624,10270,3
30232,10521,17
30232,10131,17
30232,10013,11
16587,10055,24
13986,10131,40
13986,10064,53
13986,10017,89
13986,10013,16
13538,10131,36
13538,10064,36
13538,10055,12
13538,10017,102
13538,10013,11
12452,10055,114
11485,10067,306
11485,10055,37
26414,10131,60
26414,10013,19
17127,10521,11
10294,10064,6
10294,10055,10
29789,10055,17
29431,11294,65
29350,11294,73
29350,10766,5
27575,11294,37
27575,10766,5
26358,10521,3
26358,10064,4
23767,11294,58
23767,10766,13
23767,10067,5
15751,10055,37
26842,10543,29
26842,10270,8
26842,10064,10
23027,11294,6
16139,10778,9
16139,10521,9
16139,10131,9
15656,10521,7
14732,10055,3
154886,10521,14
154207,10067,12
152682,10521,4
36418,10055,12
29564,10543,4
28235,10055,34
27950,10064,3
26781,10521,6
24328,10055,19
21131,10064,16
21131,10017,6
20170,10766,3
20170,10270,10
13756,10778,21
13756,10131,16
13756,10064,22
13756,10055,5
13756,10017,50
13339,10064,3
13339,10055,5
13339,10017,4
22618,11294,25
22618,10543,3
157517,11294,68
36128,10131,25
36128,10013,13
28684,10131,25
28684,10067,6
28684,10064,12
27381,10055,14
25585,10131,12
24895,11294,128
16694,10766,57
16694,10270,9
16610,10055,30
15411,10778,56
15411,10766,78
15411,10064,30
13146,10064,15
12935,10064,8
12092,11294,11
12092,10778,293
12092,10766,31
12092,10521,231
12092,10270,10
12092,10131,25
12092,10064,16
12092,10017,7
12092,10013,19
37455,10131,5
29419,10131,21
25768,10055,17
25379,10055,17
23286,10543,5
22532,10055,37
19606,11294,5
18435,10055,38
18211,10055,14
36880,10543,43
36880,10270,43
23612,11294,65
23612,10543,3
23115,10543,29
23115,10521,26
23115,10270,66
23041,10543,54
23041,10521,32
23041,10270,65
162783,10067,3
21303,10521,3
21303,10270,7
12316,10055,12
26295,10131,70
26295,10013,62
17285,11294,30
15922,10131,4
15922,10064,65
15922,10017,17
155683,10131,3
31366,10778,4
31366,10064,10
31366,10017,3
26903,10543,7
18936,10055,15
28915,10064,75
28915,10017,87
24281,10064,10
16168,10131,3
25878,10055,9
153994,10064,5
19675,10064,34
19675,10017,75
19517,10778,3
19517,10064,9
19517,10017,52
19461,10055,39
18886,10064,36
18886,10017,17
17715,10064,25
17715,10017,38
17633,10064,42
17633,10017,85
16531,10064,28
16531,10017,63
14379,10064,33
14379,10017,109
12752,10064,41
12752,10017,9
23658,10778,77
23658,10064,68
23658,10017,11
